"id_job","duration","required_work_experience","job_type","salary_period","salary","position_name","latitude","longitude","applied"
"5c71d0f05139g898dg4de8gd861gf6844992","PERMANENT","No","FULL_TIME","MONTH",2000,"Real estate salesperson",40.751838684082031,-73.9913101196289,51
"c9952013e942ga487g42d3g7c64g10feb096","PERMANENT","1-2 Years","FULL_TIME","","","Administrative assistant",40.705974578857422,-74.012954711914062,49
"ccceb7d319b0g9fabg40a7g8abeg4d91e964","PERMANENT","No","FULL_TIME","","","Stock person",40.708114624023438,-73.957069396972656,49
"493d498abcd7g82cdg463cgc3e6g99ed65ce","","1-2 Years","NONE","HOUR",14,"Cleaner",40.702156066894531,-73.945022583007812,49
"52aa686a1415gbcdbg4a2dg23d1g7ae81ebd","TEMPORAL","No","FULL_TIME","HOUR",10,"Patient care assistant",40.719501495361328,-73.843635559082031,49
"901b7b37f89fg8b6cg418ag7d3dg4de63742","PERMANENT","No","FULL_TIME","HOUR",13.5,"Crew",40.752304077148438,-73.994300842285156,49
"f8a14748b95fg93b6g4580gf1a2g4143500f","PERMANENT","1-2 Years","FULL_TIME","","","Sales associate",40.742992401123047,-73.613197326660156,48
"c372a7e63becga020g4f63g8435g3f96e45a","PERMANENT","1-2 Years","FULL_TIME","","","Cashier",40.656158447265625,-74.013175964355469,48
"fd70d1764b2egad8bg4648ga338g05038544","PERMANENT","No","PART_TIME","HOUR",13,"Home health aide (HHA)",41.057319641113281,-74.140975952148438,48
"ce5625e0b81dgbd8fg40e6g0785g7693df51","PERMANENT","No","FULL_TIME","","","Finishing Technician",40.710933685302734,-73.918853759765625,47
"b56095b910f6g87b8g43d3g1212gb6ce74c9","PERMANENT","No","FULL_TIME","HOUR",13,"Pallet dismantler",40.719501495361328,-73.843635559082031,47
"0e8e1bf97f14gafd7g443agefc7g75b36986","PERMANENT","1-2 Years","FULL_TIME","","","Retail associate",40.757427215576172,-73.8349380493164,46
"567bbd54a096gb81cg4c98g8a8cg5c1a2826","PERMANENT","No","FULL_TIME","","","Busser",40.7406120300293,-74.000717163085938,46
"25080a650ef2gb4a0g4f0cg00e9gea3beeab","PERMANENT","1-2 Years","PART_TIME","HOUR",15,"Administrative assistant",40.769626617431641,-73.950759887695312,46
"8009e0705b97g8763g4d14gc18cgae41cb89","PERMANENT","No","FULL_TIME","HOUR",11,"Assistant & Secretary",40.84912109375,-73.9364242553711,46
"84346e563837ga993g4faag163bg29be966f","","No","NONE","HOUR",15,"Music teacher",40.729915618896484,-73.889801025390625,46
"dba7aa8849d7g9a50g41b0ga531g842fe57a","PERMANENT","No","FULL_TIME","MONTH",700,"Agent",40.712776184082031,-74.005973815917969,46
"15db01edef7dg8aaeg4726g311cg4ceab391","PERMANENT","1-2 Years","FULL_TIME","","","Cashier",40.714069366455078,-73.944099426269531,45
"98e259f493f1gabd5g43d4g5938g392976ca","PERMANENT","1-2 Years","FULL_TIME","","","Showroom associate",40.754932403564453,-73.984016418457031,45
"87368aab0a13g9943g446agfb30g062506ae","PERMANENT","No","FULL_TIME","","","Sales person",40.713569641113281,-74.0127944946289,45
"bfd75a28b084gaf09g4e96g2c37gca15e90c","PERMANENT","1-2 Years","FULL_TIME","","","Receptionist",40.740283966064453,-73.993812561035156,45
"118fca3b58a8g88e5g4e78g1b9fg71c8f34a","PERMANENT","No","FULL_TIME","HOUR",10,"Warehouse shipping and receiving",40.719501495361328,-73.843635559082031,45
"2ae14fb20553ga677g4824gc689g2099fce2","PERMANENT","No","PART_TIME","HOUR",11.75,"Delivery personnel",40.742259979248047,-73.698432922363281,45
"e8312da5d06cg9ca0g4c65g76b6g1f613b28","PERMANENT","No","FULL_TIME","HOUR",10,"Security guard",40.622047424316406,-74.244590759277344,45
"037fec6bc349ga266g4e17g8b4egb4f04748","PERMANENT","1-2 Years","FULL_TIME","","","Administrative assistant",40.782157897949219,-73.952499389648438,44
"397fc087773egb91cg4b84gb0cfg099218f2","PERMANENT","2-3 Years","FULL_TIME","","","Receptionist",40.762836456298828,-73.982467651367188,44
"238edb778a55g843eg46a0g500dg988091f6","","No","NONE","HOUR",13,"Hostess",40.772842407226562,-73.955818176269531,44
"6d42f69435e5g8b70g49dfg8fc3g3b75e3aa","PERMANENT","1-2 Years","PART_TIME","HOUR",14,"Bartender",40.678176879882812,-73.944160461425781,44
"f1e93a28660cg9e96g4b2bgd751g5b327179","PERMANENT","1-2 Years","FULL_TIME","HOUR",19,"Administrative assistant",40.680240631103516,-73.903877258300781,44
"0de5590784b6gbbcag42c7g4a4dg6506d349","PERMANENT","1-2 Years","PART_TIME","","","Front desk",40.775886535644531,-73.976470947265625,43
"a27db4ee1951ga218g4f69g4954g7dddcbf5","PERMANENT","No","FULL_TIME","","","Certified Group Teacher",40.674835205078125,-74.001457214355469,43
"472bb758c231g8e61g474eg51ebg439ddfac","PERMANENT","1-2 Years","FULL_TIME","","","Office assistant",40.744678497314453,-73.948539733886719,43
"936f98dc07eeg98b0g4694ga131g2626123a","PERMANENT","+3 Years","NONE","","","Technician",40.712776184082031,-74.005973815917969,42
"df652be014b9g8235g4d9bg0696gffe7aa39","PERMANENT","1-2 Years","FULL_TIME","HOUR",13,"Security guard",40.744541168212891,-73.850746154785156,42
"01aeed95ba2egbc82g4768g169ag806e5ab4","","No","NONE","","","Bakery Counter Person",40.742218017578125,-73.984489440917969,41
"7be7a2423a11gb8c3g46cagbd54g46ae8edb","PERMANENT","1-2 Years","FULL_TIME","","","Clerical office worker",40.712776184082031,-74.005973815917969,41
"0a9dbe9562c6g8635g4bf1g057dg46101b01","PERMANENT","1-2 Years","FULL_TIME","","","Front desk receptionist",40.7073974609375,-74.012603759765625,40
"a7e46d50d782gbcd9g477eg08aegadd8b648","PERMANENT","1-2 Years","FULL_TIME","","","Server",40.756187438964844,-73.992599487304688,40
